종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
003090,대웅,34300,-650,-1.86,KOSPI,기타금융,1994269914000,2343,11787,100,0.29,2021-09-24,20.2669706707317,1.78554025785657,13.7157490646492,1.47146012986055,G3520,WICS 제약과생물공학,139968350,717937,0.51,73.01,1,G35,건강관리,35,16,20931113,G35,0.0881,big
017800,현대엘리베이,48800,1650,3.5,KOSPI,기계,1991781320800,2389,24732,800,1.64,2021-09-24,20.922072697479,1.94244326194656,12.7514809270166,1.0936642437953,G2010,WICS 자본재,124006699,1493836,1.2,60.22,1,G20,산업재,18,18,30611393,G20,0.0928,big
064550,바이오니아,78900,7900,11.13,KOSDAQ,제약,1989193583100,2509,5775,0,0,2021-09-24,34.3556750103627,13.4404971831081,20.7857218714734,9.60963083623188,G3520,WICS 제약과생물공학,139968350,1591355,1.14,58.17,1,G35,건강관리,14,16,20169263,G35,0.3912,big
111770,영원무역,44700,-100,-0.22,KOSPI,유통업,1980722619600,3366,41408,500,1.12,2021-09-24,13.4104442762356,0.993341333801404,5.7229778087258,0.803082476321765,G2520,WICS 내구소비재와의류,49360418,950747,1.93,64.49,1,G25,경기관련소비재,9,7,21269505,G25,0.0741,big
086520,에코프로,104800,5100,5.12,KOSDAQ,IT부품,1959905357600,1096,15013,300,0.29,2021-09-24,82.6964285907173,3.3292090327841,12.3187011791326,2.07003100718209,G1510,WICS 소재,130796768,1607122,1.23,75.63,1,G15,소재,16,8,15335137,G15,0.0403,big
069960,현대백화점,82400,800,0.98,KOSPI,유통업,1928361138400,3172,182312,1000,1.21,2021-09-24,27.4304571607397,0.383196776503786,7.43392882960679,0.848302453985571,G2550,WICS 소매(유통),13446456,1157017,8.6,75.98,1,G25,경기관련소비재,6,5,14041465,G25,0.014,big
206650,유바이오로직스,52800,1500,2.92,KOSDAQ,제약,1912907409600,,2779,0,0,2021-09-24,,19.7410465386997,,67.119558231579,G3520,WICS 제약과생물공학,139968350,1683359,1.2,57.03,1,G35,건강관리,13,16,31881790,G35,,big
237690,에스티팜,101800,-400,-0.39,KOSDAQ,제약,1899180800000,,15830,0,0,2021-09-24,,6.39885714285714,,15.3036325543916,G3520,WICS 제약과생물공학,139968350,892615,0.64,66.85,1,G35,건강관리,24,16,8768320,G35,,big
095700,제넥신,75400,-500,-0.66,KOSDAQ,기타서비스,1885959992800,1149,21686,0,0,2021-09-24,68.3318837971015,3.51530287567568,,101.943783394595,G3520,WICS 제약과생물공학,139968350,1527628,1.09,60.38,1,G35,건강관리,16,16,20260313,G35,0.0514,big
067630,에이치엘비생명과학,19900,-1100,-5.24,KOSDAQ,기타서비스,1874200029400,,3051,0,0,2021-09-24,,6.51442485019117,937.1000147,20.4161223246187,G3520,WICS 제약과생물공학,139968350,1574328,1.12,59.29,1,G35,건강관리,15,16,79111961,G35,,big
194480,데브시스터즈,162700,-14500,-8.18,KOSDAQ,디지털컨텐츠,1864118980000,,9149,0,0,2021-09-24,,18.6972816449348,,26.4414039716312,G5020,WICS 미디어와엔터테인먼트,150344455,1174395,0.78,86.14,1,G50,커뮤니케이션서비스,13,3,7218162,G50,,big
