종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR,IDX_CD,IDX_NM_KOR,ALL_MKT_VAL,MKT_VAL,WGT,S_WGT,CAL_WGT,SEC_CD,SEC_NM_KOR,SEQ,TOP60,APT_SHR_CNT,SEC_1ST,ROE,size
004890,동일산업,114000,-1000,-0.87,KOSPI,철강금속,276474510000,3700,148639,1800,1.58,2021-09-24,34.55931375,0.766919583911235,13.7549507462687,0.829506480648065,G1510,WICS 소재,130796768,124414,0.1,94.39,1,G15,소재,95,8,1091347,G15,0.0222,big
372910,한컴라이프케어,9540,-230,-2.35,KOSPI,의료정밀,264013833240,1967,1920,0,0,2021-09-24,9.53118531552347,6.98449294285714,25.3859455038462,1.73922156284585,G3510,WICS 건강관리장비와서비스,17087092,168969,0.99,71.15,1,G35,건강관리,25,16,17711620,G35,0.7328,big
092130,이크레더블,20600,50,0.24,KOSDAQ,기타서비스,248098160000,1084,4804,700,3.4,2021-09-24,18.9387908396947,4.28494231433506,14.5086643274854,5.78317389277389,G2020,WICS 상업서비스와공급품,5444111,79391,1.46,93.31,1,G20,산업재,14,4,3853952,G20,0.2263,big
001070,대한방직,43600,-50,-0.11,KOSPI,섬유의복,2.3108e+11,746,25717,0,0,2021-09-24,85.5851851851852,1.6953778429934,53.7395348837209,1.3189497716895,G2520,WICS 내구소비재와의류,49360418,97054,0.2,91.55,1,G25,경기관련소비재,68,7,2226000,G25,0.0198,big
015360,예스코홀딩스,38500,0,0,KOSPI,기타금융,2.31e+11,,79284,2000,5.19,2021-09-24,,0.443122961826204,,0.205808980755524,G5510,WICS 유틸리티,11855265,73920,0.62,99.22,1,G55,유틸리티,13,2,1920000,G55,,big
003120,일성신약,80600,800,1,KOSPI,의약품,2.14396e+11,2100,130630,750,0.93,2021-09-24,38.38,0.61696690647482,133.9975,5.28068965517241,G3520,WICS 제약과생물공학,139968350,55743,0.04,98.45,1,G35,건강관리,188,16,691600,G35,0.0161,big
018120,진로발효,31750,-200,-0.63,KOSDAQ,음식료·담배,210220560000,1717,12070,1350,4.25,2021-09-24,18.4404,2.59531555555556,11.6143955801105,2.06300843964671,G3020,"WICS 식품,음료,담배",30382851,71475,0.24,95.02,1,G30,필수소비재,51,6,2251181,G30,0.1407,big
130580,나이스디앤비,10150,-50,-0.49,KOSDAQ,기타서비스,1.5631e+11,698,4052,200,1.97,2021-09-24,14.6084112149533,2.28189781021898,8.49510869565217,1.90158150851582,G2020,WICS 상업서비스와공급품,5444111,101602,1.87,90.25,1,G20,산업재,12,4,10010000,G20,0.1562,small
034590,인천도시가스,28600,-100,-0.35,KOSPI,전기가스업,125117964400,2762,43813,1250,4.37,2021-09-24,10.9752600350877,0.652675870631195,12.2664670980392,0.248003893756194,G5510,WICS 유틸리티,11855265,30028,0.25,101.58,1,G55,유틸리티,18,2,1049941,G55,0.0595,small
002600,조흥,194500,-500,-0.26,KOSPI,음식료품,1.167e+11,12528,222051,6000,3.08,2021-09-24,15.53,0.876126126126126,,0.524258760107817,G3020,"WICS 식품,음료,담배",30382851,38511,0.13,99.57,1,G30,필수소비재,77,6,198000,G30,0.0564,small
040420,정상제이엘에스,7320,20,0.27,KOSDAQ,기타서비스,114759680640,449,4088,430,5.87,2021-09-24,17.1283105432836,1.79032263088924,7.54997898947369,1.34379017142857,G2560,WICS 교육서비스,1841806,61970,3.36,79.09,1,G25,경기관련소비재,10,6,8465878,G25,0.1045,small
078000,텔코웨어,11200,0,0,KOSPI,서비스업,108670307200,332,11338,480,4.29,2021-09-24,57.1948985263158,0.987911883636364,362.234357333333,2.985448,G4510,WICS 소프트웨어와서비스,21315250,31514,0.15,99.01,1,G45,IT,108,16,2813785,G45,0.0173,small
225190,삼양옵틱스,10750,-50,-0.46,KOSDAQ,의료·정밀기기,108669600000,213,3420,600,5.58,2021-09-24,51.7474285714286,3.14984347826087,7.87460869565217,2.81527461139896,G4520,WICS 기술하드웨어와장비,44599486,31514,0.07,97.11,1,G45,IT,171,24,2931552,G45,0.0609,small
016670,인피니티엔티,973,0,0,KOSDAQ,유통,97551057352,,629,0,0,2021-09-24,,1.76403358683544,19.5102114704,4.04776171585062,,,,,,,,,,,,,,,small
004450,삼화왕관,44000,150,0.34,KOSPI,기계,94792676000,819,66914,1250,2.84,2021-09-24,63.1951173333333,0.657369459084605,6.58282472222222,0.67564273699216,G1510,WICS 소재,130796768,33177,0.03,99.59,1,G15,소재,200,8,754033,G15,0.0104,small
