Symbol,Date,Open,High,Low,Close,Volume
330860,2020-11-17,36200,46750,36200,38700,10751366
330860,2020-11-18,37500,41200,35250,35750,2074549
330860,2020-11-19,36350,38200,34250,38150,1328400
330860,2020-11-20,37650,45650,37200,41900,6413609
330860,2020-11-23,42550,47850,42150,45000,3878546
330860,2020-11-24,45600,46100,42700,42900,939419
330860,2020-11-25,43450,43450,39400,39950,668390
330860,2020-11-26,40350,41800,38500,40600,447941
330860,2020-11-27,41200,41400,40250,40500,194858
330860,2020-11-30,40500,40500,38900,38900,295520
330860,2020-12-01,39500,41100,39000,39150,303923
330860,2020-12-02,39150,41000,39150,40700,290276
330860,2020-12-03,40500,41250,39550,40700,225157
330860,2020-12-04,40300,41100,39950,40000,167950
330860,2020-12-07,40000,40000,38700,38800,169949
330860,2020-12-08,39000,39650,38000,39100,133610
330860,2020-12-09,38850,39450,38500,39000,98185
330860,2020-12-10,38750,38900,38200,38300,102610
330860,2020-12-11,38400,41200,38400,41150,411027
330860,2020-12-14,40950,43700,40000,42950,446203
330860,2020-12-15,42700,42800,41000,41550,250197
330860,2020-12-16,41550,41900,40000,41700,215424
330860,2020-12-17,41700,41800,39800,39950,266609
330860,2020-12-18,40000,41600,39800,40750,145803
330860,2020-12-21,40500,41150,39600,41150,132959
330860,2020-12-22,40800,41500,40200,40550,103027
330860,2020-12-23,40900,40900,39900,40000,93326
330860,2020-12-24,40000,42600,39750,41400,205835
330860,2020-12-28,42450,44550,41200,44550,544331
330860,2020-12-29,44600,46400,43800,45150,493534
330860,2020-12-30,44450,56900,44050,50800,2625742
330860,2021-01-04,52000,58000,51800,53500,874555
330860,2021-01-05,53000,55300,52600,55000,320846
330860,2021-01-06,55500,57500,53000,53000,805891
330860,2021-01-07,53200,54200,51400,52000,246268
330860,2021-01-08,52100,53700,49750,51600,446632
330860,2021-01-11,52300,54400,50300,53100,612823
330860,2021-01-12,52100,54400,51500,53600,422059
330860,2021-01-13,54000,54500,52200,52700,199069
330860,2021-01-14,52800,53000,51300,51900,112541
330860,2021-01-15,52500,53900,51300,51600,176437
330860,2021-01-18,51400,57800,50400,55900,1148682
330860,2021-01-19,55900,56800,51100,53700,751955
330860,2021-01-20,54600,59900,53300,59900,1052207
330860,2021-01-21,58700,59900,57200,59900,470952
330860,2021-01-22,60900,62000,56100,56100,574350
330860,2021-01-25,56500,57600,55100,56800,143727
330860,2021-01-26,56300,57600,53500,54300,311332
330860,2021-01-27,54400,56300,53900,54800,161101
330860,2021-01-28,53200,54200,52000,53100,176442
330860,2021-01-29,54000,54400,50000,50300,169900
330860,2021-02-01,50300,51800,49050,51300,102692
330860,2021-02-02,52200,53100,51400,52100,86221
330860,2021-02-03,52900,53100,51200,51500,61007
330860,2021-02-04,51500,51500,49050,49550,125040
330860,2021-02-05,49850,50300,48450,48900,150390
330860,2021-02-08,49250,49250,46850,46950,133013
330860,2021-02-09,46950,49200,46950,49200,146186
330860,2021-02-10,49100,50000,48600,49400,101766
330860,2021-02-15,50300,53300,50200,53200,196281
330860,2021-02-16,53800,54200,52800,53000,132369
330860,2021-02-17,52600,52700,51000,51200,94701
330860,2021-02-18,50700,51000,49600,49700,91972
330860,2021-02-19,49250,51400,48350,51200,99835
330860,2021-02-22,51500,52600,50100,50800,158291
330860,2021-02-23,49200,50700,48650,48650,108608
330860,2021-02-24,48700,50100,47700,48000,72039
330860,2021-02-25,48850,49400,44050,45500,273431
330860,2021-02-26,44750,45100,43850,44750,113779
330860,2021-03-02,45250,46150,43800,43800,76981
330860,2021-03-03,43000,44350,42850,43850,42960
330860,2021-03-04,42800,43850,42350,42400,56357
330860,2021-03-05,41750,42750,40700,42550,74853
330860,2021-03-08,44000,44000,41250,41250,50314
330860,2021-03-09,40500,41000,39000,40000,109084
330860,2021-03-10,41100,41500,39050,39050,39720
330860,2021-03-11,38900,40800,38900,40100,42449
330860,2021-03-12,41000,41650,40800,41300,47985
330860,2021-03-15,41700,41700,40750,40900,32066
330860,2021-03-16,40900,44200,40900,43750,84382
330860,2021-03-17,44300,45500,43550,44100,68686
330860,2021-03-18,44500,45750,44400,44700,53623
