Symbol,Date,Open,High,Low,Close,Volume
119650,2010-01-29,6676,7667,6676,7669,139411
119650,2010-02-01,8404,8810,7960,8381,369398
119650,2010-02-02,8391,9635,8150,8736,195625
119650,2010-02-03,8912,9496,8659,8901,197225
119650,2010-02-04,8683,8836,8378,8761,85838
119650,2010-02-05,8303,8772,8251,8634,68012
119650,2010-02-08,8670,8772,8303,8508,40282
119650,2010-02-09,8354,8455,8150,8456,40407
119650,2010-02-10,8683,8924,8544,8584,53350
119650,2010-02-11,8683,8708,8378,8672,27759
119650,2010-02-12,8581,8760,8391,8532,35813
119650,2010-02-16,8404,8607,8277,8558,28278
119650,2010-02-17,8480,8594,8404,8443,17664
119650,2010-02-18,8391,8557,8391,8443,15048
119650,2010-02-19,8378,8455,8302,8431,17877
119650,2010-02-22,8480,8505,8404,8508,18883
119650,2010-02-23,8468,8505,8391,8419,15675
119650,2010-02-24,8367,8378,8252,8266,16161
119650,2010-02-25,8277,8633,8277,8558,38001
119650,2010-02-26,8557,9369,8557,9307,62966
119650,2010-03-02,9369,9852,8683,8850,83532
119650,2010-03-03,8836,8836,8557,8800,22002
119650,2010-03-04,8810,8912,8633,8800,19894
119650,2010-03-05,8760,9090,8760,9079,33617
119650,2010-03-08,9140,9255,9001,9091,32384
119650,2010-03-09,9026,9090,8810,8939,25922
119650,2010-03-10,9039,9039,8735,8926,21507
119650,2010-03-11,8849,9140,8849,9117,37445
119650,2010-03-12,9648,10334,8886,9853,79871
119650,2010-03-15,9902,10309,9598,10107,46694
119650,2010-03-16,10106,10360,9902,9904,41447
119650,2010-03-17,9902,10055,9496,9498,27187
119650,2010-03-18,9395,9622,9065,9142,40184
119650,2010-03-19,9293,9521,9192,9346,20066
119650,2010-03-22,9343,9395,8912,8939,35422
119650,2010-03-23,9065,9065,8759,8965,22664
119650,2010-03-24,8912,9241,8810,9244,29484
119650,2010-03-25,9343,9343,8962,8965,11781
119650,2010-03-26,8988,9293,8886,9015,9975
119650,2010-03-29,9013,9090,8861,8888,16926
119650,2010-03-30,8886,8988,8836,8990,8683
119650,2010-03-31,8988,8988,8557,8736,46647
119650,2010-04-01,8836,8836,8532,8787,26150
119650,2010-04-02,8659,8683,8378,8609,69267
119650,2010-04-05,8404,8532,8125,8228,46912
119650,2010-04-06,8226,8226,7694,7924,93880
119650,2010-04-07,7947,8480,7947,8482,42609
119650,2010-04-08,8581,8683,8175,8431,36636
119650,2010-04-09,8303,8378,8175,8279,32682
119650,2010-04-12,8277,8581,8226,8279,30043
119650,2010-04-13,8480,8480,8252,8329,18274
