종목코드,종목명,종가,대비,등락률,시장구분,업종명,시가총액,EPS,BPS,주당배당금,배당수익률,Date,PER,PBR,PCR,PSR
089470,HDC현대EP,6150,200,3.36,KOSPI,화학,1.96185e+11,477,9177,140,2.28,,12.89,0.67,,
009270,신원,2305,30,1.32,KOSPI,섬유의복,196022960195,,2204,0,0,,,1.05,,
074610,이엔플러스,3800,-25,-0.65,KOSPI,기계,195032283000,,1312,0,0,,,2.9,,
069460,대호에이엘,3965,-90,-2.22,KOSPI,철강금속,194275071640,24,1010,0,0,,165.21,3.93,,
003830,대한화섬,146000,1500,1.04,KOSPI,화학,1.93888e+11,14424,457234,410,0.28,,10.12,0.32,,
007280,한국특강,3630,-5,-0.14,KOSPI,철강금속,193270187880,88,1825,0,0,,41.25,1.99,,
016880,웅진,2405,30,1.26,KOSPI,기타금융,192224627400,,489,0,0,,,4.92,,
000180,성창기업지주,2740,-5,-0.18,KOSPI,서비스업,191119384000,78,7637,0,0,,35.13,0.36,,
004310,현대약품,5950,-30,-0.5,KOSPI,의약품,1.904e+11,80,2817,43,0.72,,74.38,2.11,,
102280,쌍방울,719,-6,-0.83,KOSPI,섬유의복,188803740751,,900,0,0,,,0.8,,
004540,깨끗한나라,5020,-10,-0.2,KOSPI,종이목재,186948278860,1023,5765,100,1.99,,4.91,0.87,,
002460,화성산업,14800,-700,-4.52,KOSPI,건설업,184271840000,2742,31644,650,4.39,,5.4,0.47,,
017180,명문제약,5370,-70,-1.29,KOSPI,의약품,182330047980,,2568,0,0,,,2.09,,
008040,사조동아원,1285,-5,-0.39,KOSPI,음식료품,181370811000,73,1469,0,0,,17.6,0.87,,
044820,코스맥스비티아이,18750,100,0.54,KOSPI,기타금융,180073518750,,30308,200,1.07,,,0.62,,
015020,이스타코,4200,70,1.69,KOSPI,서비스업,179976720000,,1139,0,0,,,3.69,,
007660,이수페타시스,4350,290,7.14,KOSPI,전기전자,179517531300,,1404,0,0,,,3.1,,
016740,두올,5400,-240,-4.26,KOSPI,운수장비,178560072000,163,5419,80,1.48,,33.13,1,,
000860,강남제비스코,27100,-50,-0.18,KOSPI,화학,1.7615e+11,3583,84026,500,1.85,,7.56,0.32,,
010040,한국내화,4260,-25,-0.58,KOSPI,비금속광물,174945684120,66,6306,35,0.82,,64.55,0.68,,
000320,노루홀딩스,13150,100,0.77,KOSPI,기타금융,174778635650,1343,27547,450,3.42,,9.79,0.48,,
134380,미원화학,79400,-500,-0.63,KOSPI,화학,174621879200,6806,51337,2500,3.15,,11.67,1.55,,
014580,태경비케이,6320,-10,-0.16,KOSPI,비금속광물,174325192000,167,4950,100,1.58,,37.84,1.28,,
008970,동양철관,1460,-15,-1.02,KOSPI,철강금속,173572523400,59,736,0,0,,24.75,1.98,,
100250,진양홀딩스,3085,20,0.65,KOSPI,화학,172436975820,475,5815,170,5.51,,6.49,0.53,,
002450,삼익악기,1900,-15,-0.78,KOSPI,기타제조업,172008738500,120,2464,50,2.63,,15.83,0.77,,
000300,대유플러스,1420,-40,-2.74,KOSPI,전기전자,171818259080,,825,0,0,,,1.72,,
282690,동아타이어,12500,0,0,KOSPI,화학,171662687500,971,26714,800,6.4,,12.87,0.47,,
004150,한솔홀딩스,4080,-5,-0.12,KOSPI,기타금융,171394994160,1695,11972,120,2.94,,2.41,0.34,,
009190,대양금속,5490,20,0.37,KOSPI,철강금속,170684638020,,1790,0,0,,,3.07,,
011090,에넥스,2830,40,1.43,KOSPI,기타제조업,169776344030,,754,0,0,,,3.75,,
034300,신세계건설,41900,400,0.96,KOSPI,건설업,1.676e+11,3058,50598,800,1.91,,13.7,0.83,,
004090,한국석유,13200,-1050,-7.37,KOSPI,비금속광물,167562384000,546,11418,83,0.63,,24.18,1.16,,
004080,신흥,17550,300,1.74,KOSPI,유통업,1.66725e+11,1302,9573,200,1.14,,13.48,1.83,,
002630,오리엔트바이오,1390,5,0.36,KOSPI,의약품,164830376950,,418,0,0,,,3.33,,
012690,모나리자,4495,-45,-0.99,KOSPI,종이목재,164387791225,217,1947,75,1.67,,20.71,2.31,,
100840,SNT에너지,21800,-1250,-5.42,KOSPI,기계,163646299800,1414,31408,800,3.67,,15.42,0.69,,
210540,디와이파워,14800,200,1.37,KOSPI,기계,163417278400,2303,17122,220,1.49,,6.43,0.86,,
006660,삼성공조,19900,-1000,-4.78,KOSPI,운수장비,161713648600,673,27201,80,0.4,,29.57,0.73,,
005430,한국공항,50800,1400,2.83,KOSPI,운수창고업,160850834000,,86072,0,0,,,0.59,,
032560,황금에스티,10050,-300,-2.9,KOSPI,철강금속,1.608e+11,1048,17074,100,1,,9.59,0.59,,
123690,한국화장품,10000,20,0.2,KOSPI,유통업,1.6068e+11,,1835,0,0,,,5.45,,
014530,극동유화,4580,-300,-6.15,KOSPI,화학,159701943600,213,4917,140,3.06,,21.5,0.93,,
006740,영풍제지,7190,-10,-0.14,KOSPI,종이목재,1.59618e+11,483,5692,40,0.56,,14.89,1.26,,
000700,유수홀딩스,6090,10,0.16,KOSPI,서비스업,158594635080,3202,11744,500,8.21,,1.9,0.52,,
008250,이건산업,14250,-200,-1.38,KOSPI,종이목재,156075048750,158,15750,200,1.4,,90.19,0.9,,
017900,광전자,2690,-50,-1.82,KOSPI,전기전자,155868722470,,3448,0,0,,,0.78,,
017550,수산중공업,2885,0,0,KOSPI,기계,155747195255,78,1920,10,0.35,,36.99,1.5,,
155660,DSR,9730,-1120,-10.32,KOSPI,철강금속,1.5568e+11,558,10087,50,0.51,,17.44,0.96,,
003460,유화증권,2730,10,0.37,KOSPI,증권,154797592950,83,6358,110,4.03,,32.89,0.43,,
