종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,PCR,PSR
108670,LG하우시스,코스피,화학,72600,-2400,651052842000,2020-11-19,-,72600,1154,62.91,91420,0.79,250,0.34,,
052690,한전기술,코스피,서비스업,16650,-200,6.36363e+11,2020-11-19,-,16650,694,23.99,12878,1.29,310,1.86,,
267260,현대일렉트릭,코스피,전기전자,17550,100,632627219250,2020-11-19,-,17550,,,19418,0.9,0,0,,
012630,HDC,코스피,금융업,10450,-200,624300984450,2020-11-19,-,10450,4460,2.34,36131,0.29,200,1.91,,
089590,제주항공,코스피,운수창고업,16200,-250,623693763000,2020-11-19,-,16200,,,11248,1.44,0,0,,
339770,교촌에프앤비,코스피,유통업,24950,200,623314373000,2020-11-19,-,24950,1411,17.68,3835,6.51,96,0.38,,
039130,하나투어,코스피,서비스업,44400,-1000,618899814000,2020-11-19,-,44400,,,15562,2.85,1000,2.25,,
017810,풀무원,코스피,음식료품,16200,100,617552731800,2020-11-19,-,16200,56,289.29,9425,1.72,102,0.63,,
003470,유안타증권,코스피,금융업,3085,-60,615755436960,2020-11-19,-,3085,394,7.83,5947,0.52,0,0,,
025540,한국단자,코스피,전기전자,58500,1200,609277500000,2020-11-19,-,58500,3062,19.11,68181,0.86,700,1.2,,
001820,삼화콘덴서,코스피,전기전자,56800,100,5.90436e+11,2020-11-19,-,56800,2889,19.66,14698,3.86,250,0.44,,
000070,삼양홀딩스,코스피,금융업,68000,200,582370428000,2020-11-19,-,68000,3987,17.06,160079,0.42,2000,2.94,,
115390,락앤락,코스피,화학,10650,-50,577087290000,2020-11-19,-,10650,302,35.26,12620,0.84,0,0,,
298040,효성중공업,코스피,전기전자,61600,-400,574392156800,2020-11-19,-,61600,1411,43.66,97403,0.63,0,0,,
286940,롯데정보통신,코스피,서비스업,37100,-300,571203880100,2020-11-19,-,37100,3720,9.97,25357,1.46,700,1.89,,
015350,부산가스,코스피,전기가스업,51500,-200,5.665e+11,2020-11-19,-,51500,4892,10.53,60885,0.85,1000,1.94,,
000400,롯데손해보험,코스피,금융업,1820,20,564812102400,2020-11-19,-,1820,,,3112,0.58,0,0,,
001880,대림건설,코스피,건설업,25600,100,564564070400,2020-11-19,-,25600,6265,4.09,30161,0.85,400,1.56,,
267270,현대건설기계,코스피,기계,28650,-750,564427719450,2020-11-19,-,28650,169,169.53,61453,0.47,0,0,,
082640,동양생명,코스피,금융업,3485,-45,562334668725,2020-11-19,-,3485,739,4.72,16121,0.22,230,6.6,,
145990,삼양사,코스피,음식료품,54100,-500,557957590900,2020-11-19,-,54100,3375,16.03,104070,0.52,1000,1.85,,
008490,서흥,코스피,화학,48150,-950,557052790950,2020-11-19,-,48150,2853,16.88,25552,1.88,400,0.83,,
003060,에이프로젠제약,코스피,의약품,1395,65,556013193570,2020-11-19,-,1395,,,968,1.44,0,0,,
002350,넥센타이어,코스피,화학,5640,0,550846826280,2020-11-19,-,5640,1153,4.89,14921,0.38,105,1.86,,
005180,빙그레,코스피,음식료품,55400,-300,545758751400,2020-11-19,-,55400,4644,11.93,57976,0.96,1450,2.62,,
268280,미원에스씨,코스피,화학,107000,500,5.457e+11,2020-11-19,-,107000,7559,14.16,47326,2.26,1700,1.59,,
009970,영원무역홀딩스,코스피,금융업,39700,-250,541333002400,2020-11-19,-,39700,10421,3.81,100896,0.39,1000,2.52,,
005090,에스지씨에너지,코스피,전기가스업,36750,-3100,539379897000,2020-11-19,-,36750,,,56341,0.65,1000,2.72,,
