Symbol,Date,Open,High,Low,Close,Volume
034830,2020-06-26,1745,1750,1720,1720,648467
034830,2020-06-29,1710,1710,1680,1700,313281
034830,2020-06-30,1725,1725,1685,1700,484374
034830,2020-07-01,1705,1710,1695,1705,241243
034830,2020-07-02,1705,1765,1705,1750,243957
034830,2020-07-03,1750,1760,1720,1745,163527
034830,2020-07-06,1755,1775,1730,1765,301879
034830,2020-07-07,1765,1765,1745,1750,249618
034830,2020-07-08,1755,1765,1735,1755,206585
034830,2020-07-09,1755,1760,1735,1755,196605
034830,2020-07-10,1750,1750,1720,1725,247836
034830,2020-07-13,1720,1740,1715,1725,224498
034830,2020-07-14,1720,1740,1720,1735,133046
034830,2020-07-15,1740,1755,1730,1750,348162
034830,2020-07-16,1740,1775,1740,1750,317197
034830,2020-07-17,1745,1770,1740,1760,181516
034830,2020-07-20,1760,1775,1745,1770,232899
034830,2020-07-21,1770,1780,1760,1775,347840
034830,2020-07-22,1775,1800,1760,1775,373075
034830,2020-07-23,1775,1780,1735,1755,596247
034830,2020-07-24,1750,1755,1730,1745,296136
034830,2020-07-27,1745,1755,1730,1735,454196
034830,2020-07-28,1740,1745,1720,1720,416972
034830,2020-07-29,1720,1745,1715,1720,409893
034830,2020-07-30,1730,1735,1705,1720,479132
034830,2020-07-31,1720,1730,1710,1715,256784
034830,2020-08-03,1720,1760,1720,1745,719208
034830,2020-08-04,1755,1780,1740,1775,726059
034830,2020-08-05,1765,1785,1740,1765,432545
034830,2020-08-06,1770,1770,1750,1755,396049
034830,2020-08-07,1760,1765,1745,1745,360306
034830,2020-08-10,1755,1760,1730,1745,638949
034830,2020-08-11,1750,1765,1745,1755,594729
034830,2020-08-12,1755,1770,1745,1760,636045
034830,2020-08-13,1750,1800,1725,1740,1891675
034830,2020-08-14,1750,1800,1740,1775,1636702
034830,2020-08-18,1780,1790,1720,1725,1418664
034830,2020-08-19,1725,1740,1715,1735,635621
034830,2020-08-20,1735,1735,1670,1690,968905
034830,2020-08-21,1685,1720,1675,1720,932678
034830,2020-08-24,1700,1710,1650,1675,2191447
034830,2020-08-25,1670,1700,1665,1700,1408142
034830,2020-08-26,1705,1705,1670,1690,886904
034830,2020-08-27,1685,1695,1670,1695,811618
034830,2020-08-28,1705,1705,1680,1685,1039458
034830,2020-08-31,1675,1710,1675,1695,881028
034830,2020-09-01,1695,1730,1690,1730,707804
034830,2020-09-02,1745,1875,1730,1870,3294525
034830,2020-09-03,1875,1910,1820,1830,1857888
034830,2020-09-04,1790,1950,1770,1855,5223392
034830,2020-09-07,1870,1895,1850,1895,1214280
034830,2020-09-08,1905,1910,1830,1855,1025022
034830,2020-09-09,1820,1875,1820,1860,544521
034830,2020-09-10,1870,1895,1850,1875,679851
034830,2020-09-11,1875,1875,1845,1865,378571
034830,2020-09-14,1865,1875,1855,1865,447317
034830,2020-09-15,1870,1870,1845,1860,542490
034830,2020-09-16,1865,1870,1850,1855,455255
034830,2020-09-17,1860,1865,1825,1840,396646
034830,2020-09-18,1825,1855,1810,1835,1043394
034830,2020-09-21,1835,1840,1810,1810,577041
034830,2020-09-22,1810,1815,1780,1790,527557
034830,2020-09-23,1790,1810,1735,1770,1060278
034830,2020-09-24,1715,1760,1715,1735,524145
034830,2020-09-25,1745,1750,1720,1735,263029
034830,2020-09-28,1735,1755,1735,1740,195295
034830,2020-09-29,1750,1775,1750,1760,328719
034830,2020-10-05,1770,1790,1760,1785,438022
034830,2020-10-06,1795,1800,1765,1775,369184
034830,2020-10-07,1770,1785,1755,1780,220223
034830,2020-10-08,1785,1795,1780,1790,456747
034830,2020-10-12,1800,1805,1765,1785,789108
034830,2020-10-13,1785,1790,1765,1785,474058
034830,2020-10-14,1785,1790,1760,1775,463777
034830,2020-10-15,1775,1775,1735,1765,473905
034830,2020-10-16,1765,1770,1740,1755,475289
034830,2020-10-19,1765,1810,1760,1805,918862
034830,2020-10-20,1790,1820,1785,1815,709149
034830,2020-10-21,1820,1860,1805,1835,1210850
034830,2020-10-22,1825,1905,1815,1895,3229967
034830,2020-10-23,1875,1890,1850,1870,708500
034830,2020-10-26,1880,1880,1815,1820,682711
034830,2020-10-27,1815,1845,1795,1835,427743
034830,2020-10-28,1835,1845,1820,1845,202659
034830,2020-10-29,1825,1825,1800,1815,595610
034830,2020-10-30,1820,1825,1795,1795,503860
034830,2020-11-02,1805,1840,1800,1825,429317
034830,2020-11-03,1825,1845,1825,1835,383049
034830,2020-11-04,1850,1850,1810,1825,425864
034830,2020-11-05,1835,1845,1810,1825,683131
034830,2020-11-06,1830,1835,1810,1815,464754
034830,2020-11-09,1825,1840,1800,1810,1205345
034830,2020-11-10,1820,1855,1820,1850,1069762
034830,2020-11-11,1855,1855,1835,1855,1508859
034830,2020-11-12,1860,1880,1845,1880,1251223
034830,2020-11-13,1890,1890,1845,1850,815308
034830,2020-11-16,1865,1875,1835,1850,1900585
034830,2020-11-17,1855,1915,1845,1910,2613534
034830,2020-11-18,1915,1940,1890,1895,2141553
034830,2020-11-19,1895,1900,1870,1880,619135
034830,2020-11-19,1895,1900,1870,1880,620369
034830,2020-11-20,1880,1890,1870,1885,816133
034830,2020-11-23,1890,1895,1880,1885,716926
