종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,PER,BPS,PBR,주당배당금,배당수익률,PCR,PSR
016090,대현,코스피,섬유의복,1900,-15,84136389000,2020-12-21,-,1900,376,5.05,4498,0.42,100,5.26,,
003610,방림,코스피,섬유의복,1960,-25,82935616400,2020-12-21,-,1960,144,13.61,4475,0.44,40,2.04,,
009310,참엔지니어링,코스피,기계,1480,-35,82058632560,2020-12-21,-,1480,,,1002,1.48,0,0,,
005870,휴니드,코스피,전기전자,5810,-40,82014047150,2020-12-21,-,5810,589,9.86,8207,0.71,0,0,,
004870,티웨이홀딩스,코스피,비금속광물,1060,-25,81281707360,2020-12-21,-,1060,,,2103,0.5,0,0,,
021820,세원정공,코스피,운수장비,8090,0,8.09e+10,2020-12-21,-,8090,760,10.64,41536,0.19,25,0.31,,
058730,다스코,코스피,기계,5180,40,7.9772e+10,2020-12-21,-,5180,125,41.44,8008,0.65,0,0,,
010040,한국내화,코스피,비금속광물,3460,15,79108166720,2020-12-21,-,3460,193,17.93,6144,0.56,35,1.01,,
006340,대원전선,코스피,전기전자,1110,-15,78828833370,2020-12-21,-,1110,,,1136,0.98,0,0,,
111110,호전실업,코스피,섬유의복,9710,-280,7.768e+10,2020-12-21,-,9710,346,28.06,14353,0.68,250,2.57,,
084670,동양고속,코스피,운수창고업,26750,150,77456470750,2020-12-21,-,26750,12104,2.21,45514,0.59,4700,17.57,,
015540,쎌마테라퓨틱스,코스피,서비스업,6750,690,77015502000,2020-12-21,-,6750,,,346,19.51,0,0,,
014440,영보화학,코스피,화학,3845,-30,7.69e+10,2020-12-21,-,3845,263,14.62,7274,0.53,100,2.6,,
011090,에넥스,코스피,기타제조업,1265,-50,75889425865,2020-12-21,-,1265,,,903,1.4,0,0,,
041650,상신브레이크,코스피,운수장비,3505,130,75257432250,2020-12-21,-,3505,210,16.69,7924,0.44,100,2.85,,
133820,화인베스틸,코스피,철강금속,2520,10,7.4466e+10,2020-12-21,-,2520,,,3118,0.81,0,0,,
001080,만호제강,코스피,철강금속,17900,-1000,7.4285e+10,2020-12-21,-,17900,420,42.62,55976,0.32,200,1.12,,
008260,NI스틸,코스피,철강금속,2595,-25,74217303615,2020-12-21,-,2595,224,11.58,3877,0.67,50,1.93,,
024890,대원화성,코스피,화학,1795,-10,74042227840,2020-12-21,-,1795,104,17.26,1925,0.93,10,0.56,,
090370,메타랩스,코스피,섬유의복,1155,-20,73561877235,2020-12-21,-,1155,,,1022,1.13,0,0,,
009770,삼정펄프,코스피,종이목재,29300,100,73249150300,2020-12-21,-,29300,1868,15.69,73851,0.4,0,0,,
012320,경동인베스트,코스피,금융업,30950,500,73197461850,2020-12-21,-,30950,4007,7.72,171962,0.18,500,1.62,,
000850,화천기공,코스피,기계,33100,300,7.282e+10,2020-12-21,-,33100,3388,9.77,134845,0.25,1250,3.78,,
002920,유성기업,코스피,운수장비,2795,25,72523262500,2020-12-21,-,2795,678,4.12,10636,0.26,200,7.16,,
001560,제일연마,코스피,비금속광물,7230,-70,7.23e+10,2020-12-21,-,7230,853,8.48,8396,0.86,220,3.04,,
069460,대호에이엘,코스피,철강금속,2660,20,72178671740,2020-12-21,-,2660,,,972,2.74,0,0,,
092780,동양피스톤,코스피,운수장비,5460,-50,71899791600,2020-12-21,-,5460,753,7.25,8059,0.68,120,2.2,,
069730,DSR제강,코스피,철강금속,4905,85,7.0632e+10,2020-12-21,-,4905,469,10.46,9851,0.5,40,0.82,,
008420,문배철강,코스피,철강금속,3430,35,70327022150,2020-12-21,-,3430,121,28.35,5430,0.63,50,1.46,,
010660,화천기계,코스피,기계,3120,-70,6.864e+10,2020-12-21,-,3120,,,5663,0.55,0,0,,
025820,이구산업,코스피,철강금속,2035,0,68054470000,2020-12-21,-,2035,,,3027,0.67,30,1.47,,
017370,우신시스템,코스피,기계,3705,40,67853570070,2020-12-21,-,3705,347,10.68,6224,0.6,0,0,,
000590,CS홀딩스,코스피,금융업,57700,200,66613611400,2020-12-21,-,57700,8435,6.84,195584,0.3,500,0.87,,
003010,혜인,코스피,유통업,5200,-50,66106284400,2020-12-21,-,5200,412,12.62,8192,0.63,60,1.15,,
013360,일성건설,코스피,건설업,1215,-10,65640229200,2020-12-21,-,1215,30,40.5,1688,0.72,15,1.23,,
023150,MH에탄올,코스피,음식료품,8780,-190,64783458280,2020-12-21,-,8780,,,7785,1.13,350,3.99,,
009180,한솔로지스틱스,코스피,운수창고업,2325,10,63885013125,2020-12-21,-,2325,215,10.81,1713,1.36,40,1.72,,
004090,한국석유,코스피,비금속광물,97100,-300,63619920000,2020-12-21,-,97100,,,212214,0.46,1500,1.54,,
090080,평화산업,코스피,운수장비,1145,-5,62863086555,2020-12-21,-,1145,,,610,1.88,0,0,,
003780,진양산업,코스피,화학,4820,180,6.266e+10,2020-12-21,-,4820,525,9.18,3159,1.53,200,4.15,,
044380,주연테크,코스피,전기전자,1135,-35,61984721015,2020-12-21,-,1135,,,731,1.55,0,0,,
008870,금비,코스피,비금속광물,61900,100,6.19e+10,2020-12-21,-,61900,8088,7.65,103528,0.6,1700,2.75,,
006570,대림통상,코스피,기계,4060,75,61813500000,2020-12-21,-,4060,,,6005,0.68,140,3.45,,
002820,선창산업,코스피,종이목재,4900,85,61779146100,2020-12-21,-,4900,,,17354,0.28,0,0,,
010400,우진아이엔에스,코스피,건설업,8100,50,61738200000,2020-12-21,-,8100,279,29.03,14032,0.58,250,3.09,,
051630,진양화학,코스피,화학,5110,270,6.132e+10,2020-12-21,-,5110,,,2221,2.3,0,0,,
023810,인팩,코스피,운수장비,6120,10,6.12e+10,2020-12-21,-,6120,,,9376,0.65,120,1.96,,
025560,미래산업,코스피,의료정밀,3500,355,59025288000,2020-12-21,-,3500,,,3850,0.91,0,0,,
006660,삼성공조,코스피,운수장비,7180,-130,58346934520,2020-12-21,-,7180,593,12.11,26712,0.27,60,0.84,,
005010,휴스틸,코스피,철강금속,7520,30,57314943360,2020-12-21,-,7520,,,52030,0.14,300,3.99,,
024900,덕양산업,코스피,운수장비,1745,-10,56825890100,2020-12-21,-,1745,,,1439,1.21,0,0,,
007610,선도전기,코스피,전기전자,3150,-55,5.67e+10,2020-12-21,-,3150,,,4797,0.66,25,0.79,,
072130,유엔젤,코스피,서비스업,4190,-55,55288952260,2020-12-21,-,4190,,,2745,1.53,0,0,,
003680,한성기업,코스피,음식료품,8800,-70,54643732000,2020-12-21,-,8800,,,8081,1.09,0,0,,
109070,컨버즈,코스피,종이목재,4100,0,53879690800,2020-12-21,-,4100,,,1010,4.06,0,0,,
011700,한신기계,코스피,기계,1640,20,53211687640,2020-12-21,-,1640,51,32.16,2496,0.66,15,0.91,,
018470,조일알미늄,코스피,철강금속,748,-28,52476355140,2020-12-21,-,748,,,1617,0.46,0,0,,
088790,진도,코스피,유통업,4210,0,52405002240,2020-12-21,-,4210,,,8030,0.52,100,2.38,,
049800,우진플라임,코스피,기계,5180,140,5.18e+10,2020-12-21,-,5180,,,5263,0.98,0,0,,
069640,한세엠케이,코스피,유통업,4010,365,51766381220,2020-12-21,-,4010,,,7793,0.51,0,0,,
023350,한국종합기술,코스피,서비스업,4650,-70,50917500000,2020-12-21,-,4650,,,8724,0.53,100,2.15,,
010770,평화홀딩스,코스피,운수장비,3405,85,49799711730,2020-12-21,-,3405,,,7971,0.43,150,4.41,,
000950,전방,코스피,섬유의복,29250,-900,4.914e+10,2020-12-21,-,29250,,,50283,0.58,0,0,,
006880,신송홀딩스,코스피,유통업,4110,-45,48616606380,2020-12-21,-,4110,,,7609,0.54,80,1.95,,
033250,체시스,코스피,운수장비,1995,-90,4.788e+10,2020-12-21,-,1995,,,954,2.09,0,0,,
008110,대동전자,코스피,전기전자,4545,-50,47679081615,2020-12-21,-,4545,512,8.88,13257,0.34,500,11,,
123700,SJM,코스피,운수장비,3030,15,47282840940,2020-12-21,-,3030,438,6.92,10621,0.29,125,4.13,,
002220,한일철강,코스피,철강금속,1935,90,45824424255,2020-12-21,-,1935,,,6586,0.29,0,0,,
000760,이화산업,코스피,유통업,16250,400,4.55e+10,2020-12-21,-,16250,,,36329,0.45,0,0,,
007120,미래아이앤지,코스피,서비스업,350,-3,45319451800,2020-12-21,-,350,109,3.21,537,0.65,0,0,,
025530,SJM홀딩스,코스피,유통업,3030,0,45250044240,2020-12-21,-,3030,363,8.35,10066,0.3,175,5.78,,
030720,동원수산,코스피,"농업, 임업 및 어업",9650,-20,44909218250,2020-12-21,-,9650,1304,7.4,10939,0.88,0,0,,
001620,케이비아이동국실업,코스피,운수장비,677,-18,44710482744,2020-12-21,-,677,,,2665,0.25,0,0,,
005820,원림,코스피,섬유의복,20300,350,4.466e+10,2020-12-21,-,20300,1514,13.41,41154,0.49,250,1.23,,
019180,티에이치엔,코스피,전기전자,2470,0,4.446e+10,2020-12-21,-,2470,959,2.58,3503,0.71,60,2.43,,
006200,한국전자홀딩스,코스피,금융업,935,-15,43760932160,2020-12-21,-,935,,,2289,0.41,0,0,,
011230,삼화전자,코스피,전기전자,4080,-90,42668395200,2020-12-21,-,4080,,,1132,3.6,0,0,,
004100,태양금속,코스피,운수장비,1120,-10,4.1104e+10,2020-12-21,-,1120,,,1773,0.63,5,0.45,,
001210,금호전기,코스피,전기전자,3385,-20,40558460700,2020-12-21,-,3385,,,3098,1.09,0,0,,
024070,WISCOM,코스피,화학,2630,100,40308531940,2020-12-21,-,2630,70,37.57,7697,0.34,50,1.9,,
011420,갤럭시아에스엠,코스피,서비스업,1445,0,39809235580,2020-12-21,-,1445,,,791,1.83,0,0,,
084870,TBH글로벌,코스피,섬유의복,1865,25,38897967435,2020-12-21,-,1865,,,5163,0.36,0,0,,
071090,하이스틸,코스피,철강금속,19150,200,38298927600,2020-12-21,-,19150,16,1196.88,63833,0.3,100,0.52,,
009140,경인전자,코스피,전기전자,24250,250,38091827250,2020-12-21,-,24250,182,133.24,34673,0.7,250,1.03,,
010640,진양폴리,코스피,화학,3735,115,3.735e+10,2020-12-21,-,3735,755,4.95,2658,1.41,100,2.68,,
018500,동원금속,코스피,운수장비,792,45,37029906936,2020-12-21,-,792,350,2.26,1363,0.58,0,0,,
014910,성문전자,코스피,전기전자,1885,-5,36732725445,2020-12-21,-,1885,,,1356,1.39,0,0,,
